ID_HOGAR,PC1,PC2
754,1.907027,-0.921660
755,1.945480,-0.936233
756,1.211407,-1.271310
757,0.975523,-1.024482
758,0.571477,-0.832298
759,-0.565236,0.943210
760,0.222968,0.881259
761,0.540548,-0.814382
762,1.362994,-1.422688
763,1.860452,-0.497711
764,1.574099,-1.055979
765,1.243468,-1.387850
766,0.285740,-1.509729
767,2.715380,-1.256590
768,1.058597,-1.722820
769,-0.832778,-0.884100
770,0.934984,-0.319794
771,0.518397,-0.123781
772,2.185941,-1.439733
773,0.684198,-0.615982
774,-0.238787,-1.437944
775,0.160291,-0.152355
776,2.188939,-0.879576
777,0.507125,-0.528148
778,0.435896,-0.499948
779,1.653408,-0.362032
780,-0.475031,-2.213665
781,1.569800,-1.045041
782,-0.371461,-0.804398
783,0.809859,-0.791884
784,0.729866,-1.024549
785,1.338148,-0.998863
786,0.109176,-0.252820
787,1.207409,-0.925577
788,0.979409,0.446357
789,2.171888,-0.835599
790,0.693091,0.566409
791,1.171048,-0.143035
792,0.413768,-0.883382
793,2.289072,-0.673804
794,0.746439,-0.277334
795,0.474545,-0.938101
796,-1.673543,-1.538819
797,-0.961897,-1.705991
798,-0.080758,-1.390120
799,-0.125039,-0.979658
800,0.546974,0.526755
801,0.066677,0.045883
802,0.026101,-0.812922
803,1.093551,-1.228077
804,-0.515266,-0.119286
805,-0.212463,-0.688311
806,-0.624172,-1.197104
807,-0.570529,-0.548153
808,2.044570,-0.793970
809,-1.484935,-0.398853
810,0.357746,-1.117113
811,1.611845,-0.517379
812,0.348251,-0.897928
813,1.283995,-0.646483
814,0.094840,-0.287681
815,-0.555305,-1.298536
816,-1.375955,-0.286679
817,0.051224,-0.655286
818,0.653772,0.653035
819,-1.821384,0.460526
820,-0.938766,0.067081
821,0.409584,-0.072656
822,-2.075517,-0.064415
823,-0.009948,0.706400
824,0.360465,0.366305
825,-0.854561,-1.365491
826,-0.273603,-0.291801
827,0.067382,-1.457032
828,0.059306,-1.516321
829,0.559620,-1.585468
830,-1.121053,-1.184462
831,0.710462,-1.948727
832,-0.166219,-1.950770
833,-0.536123,0.339233
834,0.204919,-0.371626
835,0.622958,-1.664288
836,0.134347,-1.141777
837,-1.451156,-1.457878
838,-1.301426,2.165355
839,-1.942597,-1.974787
840,-0.533685,-1.166505
841,-0.004282,-1.693691
842,-0.604387,-1.861896
843,-2.115423,-2.198914
844,-0.879412,-1.940458
845,-0.725635,-0.997127
846,-0.299401,-1.282129
847,0.202766,1.894897
848,-1.114069,-1.001310
849,1.579988,0.247126
850,-0.265294,-1.203745
851,-0.139664,-2.222355
852,0.585054,-1.458930
853,-0.980493,-1.798181
854,1.209973,-1.073753
855,-0.120518,-1.748715
856,-2.024692,-3.530938
857,-0.736725,-0.724587
858,-0.942174,-2.457038
859,-0.335594,-2.035022
860,1.840281,-1.363720
861,1.894187,-1.173972
862,0.728385,-1.297854
863,-2.649769,-0.260024
864,-0.828357,-0.777997
865,-1.036814,-0.528199
866,0.656695,-1.015878
867,-1.869202,-0.917139
868,-1.605070,-0.758565
869,-1.866679,-1.683811
870,-1.693576,0.854840
871,-2.740390,1.231510
872,-0.191157,-0.410821
873,-0.207230,1.370426
874,-0.610183,-1.693999
875,-0.464760,1.039202
876,2.109394,-0.468246
877,-0.372690,-1.506197
878,-0.038676,-1.724045
879,1.325263,-0.471260
880,0.616350,-2.198552
881,-1.771206,-1.545600
882,-1.509141,-0.912269
883,-2.489703,-1.450187
884,-1.526392,0.718615
885,-1.208132,-0.644051
886,-0.333203,-0.608024
887,-1.530712,0.828361
888,-1.209634,0.379917
889,1.678752,0.114766
890,1.342940,0.588477
891,-1.116805,-1.169524
892,1.396830,0.048724
893,-0.929670,-0.359924
894,-0.997444,-1.423998
895,-1.020254,-0.637326
896,0.523159,0.820257
897,-0.497075,-0.344448
898,0.079837,-0.119562
899,-0.060018,-0.265357
900,-0.647012,0.828951
901,0.858165,0.477719
902,-1.341139,0.177520
903,-0.003896,-2.266023
904,-1.977411,-0.066761
905,1.144538,-0.419585
906,-2.618245,-0.181688
907,-1.309415,0.213414
908,-0.014033,-0.131973
909,1.351860,-0.972832
910,-0.401077,0.432921
911,-1.308772,-0.801648
912,0.882162,-0.440883
913,-0.689272,1.616310
914,0.873707,0.592636
915,-1.938377,-1.437001
916,1.233329,-1.030063
917,-3.378070,-0.387994
918,-2.963303,0.219407
919,0.736644,-0.486238
920,-0.668499,-1.307326
921,2.237047,0.357646
922,1.136465,0.486400
923,-0.611128,0.289976
924,-0.633570,0.567267
925,0.945390,-0.014446
926,0.215239,0.281402
927,-2.496020,0.337559
928,-0.826081,-0.714631
929,1.199487,0.174160
930,-0.760436,1.162360
931,0.774403,0.970196
932,0.781995,-0.985456
933,-1.540414,-1.281027
934,-1.548481,0.088062
935,-1.008968,-0.991956
936,-0.988870,-1.139534
937,-1.053252,-1.289861
938,-2.531261,-1.791933
